Unit,Finance_ID,Unit Name, FY 2021 Ending Budget , FY 2022 Proposed Budget , Budget  FY 22 V. FY 20 Ending , FY 2021 Budgeted Positions , FY 2022 Approved Positions , Positions FY 21 V. FY 20 , FY 2020 Ending Budget , FY 2020 Budgeted Positions , FY 2020 Annualized Budget , Budget Difference FY 21 V. FY 20 ,New Budget FTE
U69395,69395,Providence - St. Mel School High Schol," 65,757 ", -   ," (65,757)", -   , -   , -   , 822 , -   , -   ," (65,757)",0
U66471,66471,Providence Englewood Charter School," 50,23,187 "," 52,55,997 "," 2,32,810 ", -   , -   , -   ," 50,48,798 ", -   , -   ," 2,32,810 ",0
U69504,69504,Pui Tak Christian School," 1,14,095 ", -   ," (1,14,095)", -   , -   , -   ," 4,475 ", -   , -   ," (1,14,095)",0
U69253,69253,Queen Of All Saints School," 1,77,302 ", -   ," (1,77,302)", -   , -   , -   ," 3,609 ", -   , -   ," (1,77,302)",0
U69254,69254,Queen Of Angels School," 99,557 ", -   ," (99,557)", -   , -   , -   , -   , -   , -   ," (99,557)",0
U69256,69256,Queen Of The Universe School," 1,02,109 ", -   ," (1,02,109)", -   , -   , -   ," 8,800 ", -   , -   ," (1,02,109)",0
U69589,69589,Queen of Martyrs, -   , -   , -   , -   , -   , -   , 365 , -   , -   , -   ,0
U26031,26031,R Nathaniel Dett School," 57,46,370 "," 57,56,665 "," 10,295 ", 62 , 63 , 1 ," 49,60,304 ", 53 , -   ," 10,295 ",63
U22601,22601,Rachel Carson Elementary School," 1,00,45,767 "," 94,92,161 "," (5,53,605)", 99 , 101 , 2 ," 86,32,795 ", 99 , -   ," (5,53,605)",101
U31061,31061,Ralph H Metcalfe Community Academy Elementary School," 48,21,772 "," 48,24,533 "," 2,762 ", 44 , 48 , 4 ," 43,43,655 ", 40 , -   ," 2,762 ",48
U69612,69612,Ravenswood Baptist Christian School," 38,090 ", -   ," (38,090)", -   , -   , -   ," 11,584 ", -   , -   ," (38,090)",0
U25061,25061,Ravenswood School," 59,76,757 "," 56,87,860 "," (2,88,897)", 49 , 52 , 3 ," 50,40,047 ", 48 , -   ," (2,88,897)",52
U49101,49101,Ray Graham Training Center," 54,67,922 "," 66,40,813 "," 11,72,891 ", 63 , 72 , 9 ," 45,50,978 ", 52 , -   ," 11,72,891 ",72
