,ward,year,size,crime_capita
518,48,2013,2742,0.04985454545454546
519,48,2014,2393,0.04350909090909091
520,48,2015,2378,0.043236363636363635
521,48,2016,2411,0.04383636363636364
522,48,2017,2561,0.04656363636363636
523,48,2018,2820,0.051272727272727275
524,48,2019,2600,0.04727272727272727
525,48,2020,2381,0.04329090909090909
526,48,2021,2522,0.04585454545454545
527,48,2022,2962,0.053854545454545454
528,49,2012,4570,0.08309090909090909
529,49,2013,4052,0.07367272727272728
530,49,2014,3555,0.06463636363636363
531,49,2015,3359,0.06107272727272727
532,49,2016,3478,0.06323636363636363
533,49,2017,3895,0.07081818181818182
534,49,2018,3674,0.0668
535,49,2019,4019,0.07307272727272728
536,49,2020,3300,0.06
537,49,2021,3347,0.06085454545454545
538,49,2022,3998,0.0726909090909091
539,50,2012,3351,0.060927272727272726
540,50,2013,3158,0.05741818181818182
541,50,2014,2800,0.05090909090909091
542,50,2015,2568,0.04669090909090909
543,50,2016,2700,0.04909090909090909
544,50,2017,2961,0.053836363636363634
545,50,2018,2814,0.05116363636363636
546,50,2019,2637,0.04794545454545455
547,50,2020,2367,0.043036363636363636
548,50,2021,2291,0.04165454545454546
549,50,2022,3039,0.05525454545454545
