comm_area,ca_id,pop,long,lat,low_bw_rate,uninsured_rate,adq_child_care,perc_vacant_units,perc_sing_par_hh,comm_belong_16_18,comm_belong_20_21,perc_hh_stamps,perc_not_getting_stamps,rent_burdened_hh,homicide_rate,drug_induced_dt_rate
Albany Park,14,48549,-87.721558,41.968078,-0.763530928425011,1.7321648229577262,0.6454500698362907,-0.4495509173362217,-0.18542656467886462,0.5340124493859868,-1.2981387802929147,-0.41847303572126704,0.044011925102903984,-0.4302575675689055,-0.8184367410460498,-0.6739763346324477
West Town,24,87942,-87.676358,41.901216,-0.763530928425011,-1.0229751646191527,1.1494840795955548,-0.6019109351780262,-0.8666586462231468,-0.12738605901744163,-0.6968835637260293,-1.0075072056893934,0.743000964925606,-1.6914696489831353,-0.725961848332476,-0.33286013777933526
Edgewater,77,47343,-87.663419,41.986719,-0.763530928425011,-0.21503522683213203,0.7595709777063128,-0.18758496106966224,-1.1151605854843216,0.8695044464022186,0.4328800217018354,-0.8460317471075833,0.912596486828826,-0.4410301792694412,-0.9068909862503377,-0.4207234006051371
Gage Park,63,39439,-87.696433,41.795429,-0.7929121785443145,1.4234527424401888,-0.1724164365655317,-0.5868686869783544,0.033076929629809994,-0.9804942800015739,0.5410654430242561,0.3082033578818033,-0.42054946419839956,0.5258723841258656,-0.22338090967174934,-0.6894816163075892
Avondale,21,36245,-87.711219,41.938673,-0.8222934286636177,1.1922607793968403,0.8736918855763349,-0.016782493040395755,-0.5467520076741006,0.0930801104503676,0.43443246417332915,-0.6683265234394646,0.29527901129276685,-0.8937100372449516,-0.7661683234253341,-0.3742075555797125
West Lawn,65,33543,-87.726927,41.769774,-0.8222934286636177,0.5074388834818798,0.10337575745368821,-1.0643932983426725,-0.39666081171276674,-1.2584733632435952,1.1971393810354036,-0.3992921463282323,0.05793836641289496,0.7968065482405433,-0.7621476759160485,-0.4207234006051371
Portage Park,15,63038,-87.763401,41.954043,-0.851674678782921,0.8119253427518475,0.6930004481154665,-0.33597324955244773,-0.45991816735210606,0.5531834206440575,-0.5591959182086012,-0.857579482074086,0.9980595675331648,-0.3437122127229673,-0.8908083962131945,-0.25016530217858085
Logan Square,22,71742,-87.699149,41.922768,-0.851674678782921,-0.4813748803471083,0.9592825664788518,-0.29385747922306876,-0.726095277761694,1.0899706158700277,0.8352093301943557,-0.889928339277223,0.7435580429466394,-1.1024446657928757,-0.8184367410460498,-0.4310602550552313
Hermosa,20,24127,-87.734741,41.924353,-0.8810559289022242,1.8406875427339633,0.43622840540791846,-0.5777865025311785,-0.1420117903876592,1.1283125583861693,-0.2866845015677061,-0.36095961878396077,0.7850386122026266,-0.16011167103412366,-0.7219412008231904,-0.40521811892999554
Lake View,6,91836,-87.656001,41.944236,-0.9104371790215273,-1.3174333272575076,1.4062561223031027,-0.5693712276779237,-1.0935508731204715,0.38064467932142415,0.3669452765659683,-1.2387365060735727,1.4557531735967701,-1.0870897256538978,-0.9310148713060526,-0.7308290341079664
